a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
756.0,0.0,2144.2384017536788,1707.7615982463215,90.0,10.024882749328933,5.462150174929542,-0.010991181106374301
756.0,1.0,2143.7384017536788,1708.627623650106,90.0,10.025489444621966,5.461871533386769,-0.012271470352863351
756.0,2.0,2143.2384017536788,1709.4936490538903,90.0,10.026096139915001,5.461592891843994,-0.0135517595993524
756.0,3.0,2142.7384017536788,1710.3596744576748,90.0,10.026702835208036,5.461314250301221,-0.014832048845841448
756.0,4.0,2142.2384017536788,1711.2256998614591,90.0,10.02730953050107,5.461035608758447,-0.016112338092330498
756.0,5.0,2141.7384017536788,1712.0917252652437,90.0,10.027916225794105,5.460756967215673,-0.017392627338819543
756.0,6.0,2141.2384017536788,1712.957750669028,90.0,10.028522921087138,5.460478325672899,-0.01867291658530859
756.0,7.0,2140.7384017536788,1713.8237760728125,90.0,10.030222124779838,5.461235798747633,-0.021407825387066596
756.0,8.0,2140.2384017536788,1714.689801476597,90.0,10.03238954635811,5.462437320944158,-0.024766142569654315
756.0,9.0,2139.7384017536788,1715.5558268803813,90.0,10.034556967936377,5.463638843140681,-0.028124459752242027
756.0,10.0,2139.2384017536788,1716.4218522841659,90.0,10.036724389514646,5.4648403653372055,-0.03148277693482973
756.0,11.0,2138.7384017536788,1717.2878776879502,90.0,10.038891811092915,5.46604188753373,-0.03484109411741745
756.0,12.0,2138.2384017536788,1718.1539030917347,90.0,10.041059232671186,5.467243409730252,-0.03819941130000516
756.0,13.0,2137.7384017536788,1719.0199284955193,90.0,10.043282274061092,5.468761270144917,-0.04187688080142461
756.0,14.0,2137.2384017536788,1719.8859538993036,90.0,10.045588745168455,5.470753637886792,-0.04603307878109164
756.0,15.0,2136.7384017536788,1720.751979303088,90.0,10.04789521627582,5.472746005628667,-0.05018927676075868
756.0,16.0,2136.2384017536788,1721.6180047068724,90.0,10.050201687383185,5.474738373370542,-0.05434547474042571
756.0,17.0,2135.7384017536788,1722.484030110657,90.0,10.05250815849055,5.4767307411124175,-0.05850167272009273
756.0,18.0,2135.2384017536788,1723.3500555144415,90.0,10.054814629597912,5.4787231088542905,-0.06265787069975975
756.0,19.0,2134.7384017536788,1724.2160809182258,90.0,10.05693751042045,5.480664690856744,-0.0666637768846201
756.0,20.0,2134.2384017536788,1725.0821063220103,90.0,10.057408078679543,5.482149201204394,-0.06931705691621962
756.0,21.0,2133.7384017536788,1725.9481317257946,90.0,10.057878646938635,5.483633711552044,-0.07197033694781911
756.0,22.0,2133.2384017536788,1726.8141571295791,90.0,10.058349215197731,5.485118221899695,-0.07462361697941863
756.0,23.0,2132.7384017536788,1727.6801825333634,90.0,10.058819783456821,5.486602732247344,-0.07727689701101814
756.0,24.0,2132.2384017536788,1728.546207937148,90.0,10.059290351715914,5.488087242594996,-0.07993017704261765
756.0,25.0,2131.7384017536788,1729.4122333409325,90.0,10.059760919975007,5.489571752942646,-0.08258345707421717
756.0,26.0,2131.2384017536788,1730.2782587447168,90.0,10.05947671559512,5.4895829157805975,-0.08432677802154498
756.0,27.0,2130.7384017536788,1731.1442841485014,90.0,10.059003818055489,5.489225741741125,-0.0858426091978049
756.0,28.0,2130.2384017536788,1732.0103095522857,90.0,10.058530920515858,5.488868567701652,-0.08735844037406483
756.0,29.0,2129.7384017536788,1732.8763349560702,90.0,10.058058022976224,5.48851139366218,-0.08887427155032473
756.0,30.0,2129.2384017536788,1733.7423603598545,90.0,10.057585125436594,5.488154219622706,-0.09039010272658465
756.0,31.0,2128.7384017536788,1734.608385763639,90.0,10.057112227896962,5.487797045583235,-0.0919059339028446
756.0,32.0,2128.2384017536788,1735.4744111674236,90.0,10.056997198006895,5.487386310193972,-0.09330428003595907
756.0,33.0,2127.7384017536788,1736.3404365712079,90.0,10.057240035766393,5.486922013454916,-0.09458514112592806
756.0,34.0,2127.2384017536788,1737.2064619749924,90.0,10.05748287352589,5.4864577167158615,-0.0958660022158971
756.0,35.0,2126.7384017536788,1738.0724873787767,90.0,10.05772571128539,5.485993419976808,-0.09714686330586608
756.0,36.0,2126.2384017536788,1738.9385127825612,90.0,10.057968549044887,5.485529123237753,-0.0984277243958351
756.0,37.0,2125.7384017536788,1739.8045381863458,90.0,10.058211386804382,5.485064826498699,-0.09970858548580411
756.0,38.0,2125.2384017536788,1740.67056359013,90.0,10.057844019994645,5.484419202120973,-0.10094925627713995
756.0,39.0,2124.7384017536788,1741.5365889939146,90.0,10.055035834907974,5.483048267188561,-0.1020291658739431
756.0,40.0,2124.2384017536788,1742.402614397699,90.0,10.052227649821301,5.481677332256151,-0.10310907547074628
756.0,41.0,2123.7384017536788,1743.2686398014835,90.0,10.04941946473463,5.48030639732374,-0.10418898506754945
756.0,42.0,2123.2384017536788,1744.134665205268,90.0,10.046611279647957,5.478935462391328,-0.10526889466435262
756.0,43.0,2122.7384017536788,1745.0006906090523,90.0,10.043803094561286,5.4775645274589175,-0.10634880426115581
756.0,44.0,2122.2384017536788,1745.8667160128368,90.0,10.040994909474614,5.476193592526505,-0.10742871385795896
756.0,45.0,2121.7384017536788,1746.7327414166211,90.0,10.036957679560947,5.4744251815288525,-0.10644532098528728
756.0,46.0,2121.2384017536788,1747.5987668204057,90.0,10.03278388911095,5.472612606523951,-0.10523267228267393
756.0,47.0,2120.7384017536788,1748.46479222419,90.0,10.028610098660955,5.470800031519049,-0.10402002358006057
756.0,48.0,2120.2384017536788,1749.3308176279745,90.0,10.024436308210959,5.468987456514148,-0.10280737487744723
756.0,49.0,2119.7384017536788,1750.196843031759,90.0,10.02026251776096,5.467174881509246,-0.10159472617483387
756.0,50.0,2119.2384017536788,1751.0628684355434,90.0,10.016088727310965,5.465362306504344,-0.10038207747222049
756.0,51.0,2118.7384017536788,1751.9288938393279,90.0,10.01154070516567,5.4639781512885515,-0.09830917753925725
756.0,52.0,2118.2384017536788,1752.7949192431122,90.0,10.006743195223514,5.462879609265498,-0.09566277678606062
756.0,53.0,2117.7384017536788,1753.6609446468967,90.0,10.001945685281356,5.461781067242445,-0.09301637603286397
756.0,54.0,2117.2384017536788,1754.526970050681,90.0,9.997148175339198,5.460682525219389,-0.09036997527966731
