a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
1386.0,0.0,2689.834406137875,2022.7615982463212,90.0,9.982029019971252,5.514785375539134,-0.026059257856037705
1386.0,1.0,2689.334406137875,2023.6276236501058,90.0,9.987081850741827,5.514212456810829,-0.028725807123392497
1386.0,2.0,2688.834406137875,2024.49364905389,90.0,9.992134681512402,5.513639538082521,-0.031392356390747285
1386.0,3.0,2688.334406137875,2025.3596744576746,90.0,9.997187512282975,5.513066619354216,-0.03405890565810208
1386.0,4.0,2687.834406137875,2026.225699861459,90.0,10.00224034305355,5.51249370062591,-0.03672545492545687
1386.0,5.0,2687.334406137875,2027.0917252652434,90.0,10.007293173824124,5.511920781897604,-0.03939200419281166
1386.0,6.0,2686.834406137875,2027.957750669028,90.0,10.012346004594699,5.511347863169298,-0.042058553460166445
1386.0,7.0,2686.334406137875,2028.8237760728123,90.0,10.015982177481952,5.510111020662138,-0.04318787866355325
1386.0,8.0,2685.834406137875,2029.6898014765968,90.0,10.019011211276352,5.5085896393926115,-0.04365839355381078
1386.0,9.0,2685.334406137875,2030.5558268803811,90.0,10.02204024507075,5.507068258123086,-0.04412890844406828
1386.0,10.0,2684.834406137875,2031.4218522841657,90.0,10.02506927886515,5.5055468768535585,-0.04459942333432579
1386.0,11.0,2684.334406137875,2032.28787768795,90.0,10.02809831265955,5.504025495584033,-0.04506993822458331
1386.0,12.0,2683.834406137875,2033.1539030917345,90.0,10.03112734645395,5.5025041143145055,-0.04554045311484081
1386.0,13.0,2683.334406137875,2034.019928495519,90.0,10.033545399431834,5.501130024414991,-0.045740928896568576
1386.0,14.0,2682.834406137875,2034.8859538993033,90.0,10.035046981184944,5.499976871570496,-0.045536346015501765
1386.0,15.0,2682.334406137875,2035.7519793030879,90.0,10.036548562938057,5.4988237187259985,-0.04533176313443494
1386.0,16.0,2681.834406137875,2036.6180047068722,90.0,10.03805014469117,5.497670565881504,-0.04512718025336812
1386.0,17.0,2681.334406137875,2037.4840301106567,90.0,10.039551726444282,5.496517413037006,-0.044922597372301296
1386.0,18.0,2680.834406137875,2038.350055514441,90.0,10.041053308197393,5.49536426019251,-0.04471801449123447
1386.0,19.0,2680.334406137875,2039.2160809182255,90.0,10.042564829729889,5.494387143192808,-0.04443217052352358
1386.0,20.0,2679.834406137875,2040.08210632201,90.0,10.044165809276842,5.49499434879625,-0.043414976776015655
1386.0,21.0,2679.334406137875,2040.9481317257944,90.0,10.045766788823798,5.495601554399693,-0.04239778302850774
1386.0,22.0,2678.834406137875,2041.814157129579,90.0,10.047367768370757,5.496208760003136,-0.04138058928099983
1386.0,23.0,2678.334406137875,2042.6801825333632,90.0,10.04896874791771,5.496815965606578,-0.04036339553349191
1386.0,24.0,2677.834406137875,2043.5462079371478,90.0,10.050569727464666,5.497423171210021,-0.03934620178598399
1386.0,25.0,2677.334406137875,2044.4122333409323,90.0,10.052170707011623,5.498030376813463,-0.03832900803847607
1386.0,26.0,2676.834406137875,2045.2782587447166,90.0,10.052638484234542,5.498907000323081,-0.03620593439265083
1386.0,27.0,2676.334406137875,2046.1442841485011,90.0,10.052822960876457,5.499850978309242,-0.033806390772246314
1386.0,28.0,2675.834406137875,2047.0103095522854,90.0,10.053007437518371,5.500794956295404,-0.03140684715184179
1386.0,29.0,2675.334406137875,2047.87633495607,90.0,10.053191914160283,5.501738934281565,-0.02900730353143727
1386.0,30.0,2674.834406137875,2048.7423603598545,90.0,10.053376390802198,5.502682912267725,-0.026607759911032747
1386.0,31.0,2674.334406137875,2049.608385763639,90.0,10.05356086744411,5.503626890253887,-0.024208216290628227
1386.0,32.0,2673.834406137875,2050.474411167423,90.0,10.05180341580525,5.503975915512483,-0.021581555222435607
1386.0,33.0,2673.334406137875,2051.3404365712076,90.0,10.04810403588562,5.503729988043514,-0.018727776706454872
1386.0,34.0,2672.834406137875,2052.206461974992,90.0,10.044404655965986,5.5034840605745465,-0.015873998190474137
1386.0,35.0,2672.334406137875,2053.0724873787767,90.0,10.040705276046355,5.503238133105578,-0.013020219674493402
1386.0,36.0,2671.834406137875,2053.938512782561,90.0,10.037005896126725,5.50299220563661,-0.010166441158512668
1386.0,37.0,2671.334406137875,2054.8045381863453,90.0,10.033306516207093,5.502746278167641,-0.0073126626425319315
1386.0,38.0,2670.834406137875,2055.67056359013,90.0,10.02918883006746,5.502472619278869,-0.004806451717601268
1386.0,39.0,2670.334406137875,2056.5365889939144,90.0,10.023397919047836,5.502088034710883,-0.00369051115687155
1386.0,40.0,2669.834406137875,2057.402614397699,90.0,10.01760700802821,5.5017034501428945,-0.002574570596141831
1386.0,41.0,2669.334406137875,2058.268639801483,90.0,10.011816097008586,5.501318865574909,-0.001458630035412113
1386.0,42.0,2668.834406137875,2059.1346652052675,90.0,10.006025185988959,5.500934281006921,-0.00034268947468239433
1386.0,43.0,2668.334406137875,2060.000690609052,90.0,10.000234274969333,5.500549696438934,0.0007732510860473238
1386.0,44.0,2667.834406137875,2060.8667160128366,90.0,9.994443363949706,5.500165111870946,0.0018891916467770422
1386.0,45.0,2667.334406137875,2061.732741416621,90.0,9.990168164243382,5.500732895984891,3.617146854308579e-05
1386.0,46.0,2666.834406137875,2062.598766820405,90.0,9.986061376905203,5.501406498841271,-0.002146733236242447
1386.0,47.0,2666.334406137875,2063.4647922241898,90.0,9.981954589567023,5.5020801016976515,-0.00432963794102798
1386.0,48.0,2665.834406137875,2064.3308176279743,90.0,9.977847802228842,5.502753704554031,-0.006512542645813513
