a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
882.0,0.0,2253.3576026305177,1770.7615982463215,90.0,9.969049813526297,5.474845242036417,-0.016472203893970694
882.0,1.0,2252.8576026305177,1771.627623650106,90.0,9.97142794258096,5.474746642474492,-0.018645360849065488
882.0,2.0,2252.3576026305177,1772.4936490538903,90.0,9.973806071635618,5.474648042912564,-0.020818517804160278
882.0,3.0,2251.8576026305177,1773.3596744576748,90.0,9.97618420069028,5.4745494433506385,-0.022991674759255076
882.0,4.0,2251.3576026305177,1774.2256998614591,90.0,9.978562329744939,5.474450843788713,-0.025164831714349866
882.0,5.0,2250.8576026305177,1775.0917252652437,90.0,9.980940458799598,5.474352244226786,-0.027337988669444657
882.0,6.0,2250.3576026305177,1775.957750669028,90.0,9.98331858785426,5.474253644664859,-0.029511145624539447
882.0,7.0,2249.8576026305177,1776.8237760728125,90.0,9.985878132440275,5.474125946350693,-0.032547300177644484
882.0,8.0,2249.3576026305177,1777.689801476597,90.0,9.988515426539733,5.473985777142708,-0.03595331084418258
882.0,9.0,2248.8576026305177,1778.5558268803813,90.0,9.991152720639192,5.4738456079347255,-0.03935932151072066
882.0,10.0,2248.3576026305177,1779.4218522841659,90.0,9.993790014738648,5.47370543872674,-0.04276533217725875
882.0,11.0,2247.8576026305177,1780.2878776879502,90.0,9.996427308838104,5.473565269518756,-0.04617134284379684
882.0,12.0,2247.3576026305177,1781.1539030917347,90.0,9.999064602937564,5.473425100310774,-0.049577353510334946
882.0,13.0,2246.8576026305177,1782.0199284955193,90.0,10.002159800573809,5.473697346813477,-0.05292852819292877
882.0,14.0,2246.3576026305177,1782.8859538993036,90.0,10.005941853515244,5.474588216882217,-0.05619744889960623
882.0,15.0,2245.8576026305177,1783.751979303088,90.0,10.009723906456676,5.475479086950957,-0.05946636960628369
882.0,16.0,2245.3576026305177,1784.6180047068724,90.0,10.01350595939811,5.4763699570196955,-0.06273529031296114
882.0,17.0,2244.8576026305177,1785.484030110657,90.0,10.017288012339543,5.477260827088435,-0.06600421101963862
882.0,18.0,2244.3576026305177,1786.3500555144415,90.0,10.021070065280975,5.478151697157174,-0.06927313172631606
882.0,19.0,2243.8576026305177,1787.2160809182258,90.0,10.024926596410843,5.47908175308712,-0.0724202898044447
882.0,20.0,2243.3576026305177,1788.0821063220103,90.0,10.029453431236595,5.480364481767909,-0.0744715842256333
882.0,21.0,2242.8576026305177,1788.9481317257946,90.0,10.03398026606235,5.4816472104487,-0.07652287864682192
882.0,22.0,2242.3576026305177,1789.8141571295791,90.0,10.038507100888104,5.482929939129492,-0.07857417306801052
882.0,23.0,2241.8576026305177,1790.6801825333634,90.0,10.043033935713858,5.484212667810283,-0.08062546748919913
882.0,24.0,2241.3576026305177,1791.546207937148,90.0,10.047560770539613,5.485495396491073,-0.08267676191038775
882.0,25.0,2240.8576026305177,1792.4122333409325,90.0,10.052087605365369,5.486778125171865,-0.08472805633157636
882.0,26.0,2240.3576026305177,1793.2782587447168,90.0,10.054650241819113,5.487778421115637,-0.08633853523577699
882.0,27.0,2239.8576026305177,1794.1442841485014,90.0,10.056721828679859,5.488708108875154,-0.08783881026073063
882.0,28.0,2239.3576026305177,1795.0103095522857,90.0,10.0587934155406,5.489637796634672,-0.0893390852856843
882.0,29.0,2238.8576026305177,1795.8763349560702,90.0,10.060865002401346,5.490567484394189,-0.09083936031063795
