a1,a2,x,y,z,velocityx_avg,velocityy_avg,velocityz_avg
882.0,0.0,2253.3576026305177,1770.7615982463215,90.0,9.979816957141914,5.479608370434982,-0.02330356533680186
882.0,1.0,2252.8576026305177,1771.627623650106,90.0,9.98240507905529,5.479536102283277,-0.025729239211306227
882.0,2.0,2252.3576026305177,1772.4936490538903,90.0,9.984993200968667,5.479463834131571,-0.02815491308581059
882.0,3.0,2251.8576026305177,1773.3596744576748,90.0,9.987581322882043,5.479391565979866,-0.030580586960314956
882.0,4.0,2251.3576026305177,1774.2256998614591,90.0,9.99016944479542,5.47931929782816,-0.03300626083481932
882.0,5.0,2250.8576026305177,1775.0917252652437,90.0,9.992757566708798,5.479247029676454,-0.03543193470932369
882.0,6.0,2250.3576026305177,1775.957750669028,90.0,9.995345688622175,5.479174761524749,-0.03785760858382805
882.0,7.0,2249.8576026305177,1776.8237760728125,90.0,9.99832355154135,5.479538671258804,-0.040892399881022105
882.0,8.0,2249.3576026305177,1777.689801476597,90.0,10.001468446320155,5.480089514372473,-0.0441882415022261
882.0,9.0,2248.8576026305177,1778.5558268803813,90.0,10.004613341098963,5.480640357486143,-0.04748408312343009
882.0,10.0,2248.3576026305177,1779.4218522841659,90.0,10.00775823587777,5.4811912005998105,-0.050779924744634074
882.0,11.0,2247.8576026305177,1780.2878776879502,90.0,10.010903130656573,5.481742043713479,-0.054075766365838066
882.0,12.0,2247.3576026305177,1781.1539030917347,90.0,10.01404802543538,5.482292886827148,-0.057371607987042064
882.0,13.0,2246.8576026305177,1782.0199284955193,90.0,10.0175646474872,5.483254783713942,-0.060563498598522406
882.0,14.0,2246.3576026305177,1782.8859538993036,90.0,10.02163886044855,5.484833261260428,-0.0635994626954173
882.0,15.0,2245.8576026305177,1783.751979303088,90.0,10.025713073409895,5.486411738806912,-0.06663542679231219
882.0,16.0,2245.3576026305177,1784.6180047068724,90.0,10.02978728637124,5.487990216353396,-0.06967139088920708
882.0,17.0,2244.8576026305177,1785.484030110657,90.0,10.033861499332588,5.48956869389988,-0.07270735498610197
882.0,18.0,2244.3576026305177,1786.3500555144415,90.0,10.037935712293931,5.491147171446364,-0.07574331908299688
882.0,19.0,2243.8576026305177,1787.2160809182258,90.0,10.041996361661457,5.492703901030131,-0.078706091612254
882.0,20.0,2243.3576026305177,1788.0821063220103,90.0,10.045934938684564,5.49406489894943,-0.08101014003277104
882.0,21.0,2242.8576026305177,1788.9481317257946,90.0,10.049873515707674,5.49542589686873,-0.08331418845328808
882.0,22.0,2242.3576026305177,1789.8141571295791,90.0,10.053812092730784,5.496786894788031,-0.08561823687380515
882.0,23.0,2241.8576026305177,1790.6801825333634,90.0,10.057750669753894,5.498147892707331,-0.08792228529432217
882.0,24.0,2241.3576026305177,1791.546207937148,90.0,10.061689246777002,5.499508890626631,-0.09022633371483922
882.0,25.0,2240.8576026305177,1792.4122333409325,90.0,10.065627823800112,5.500869888545931,-0.09253038213535626
