z,uw
2.4347826086956523,-0.008016736195346472
7.304347826086957,-0.030916966209870948
12.173913043478262,-0.03325155129483977
17.043478260869566,-0.03515234849079205
21.91304347826087,-0.03579702188185103
26.782608695652176,-0.035993578938811055
31.65217391304348,-0.035859075613904105
36.52173913043478,-0.0355531840629417
41.39130434782609,-0.0351350092552053
46.26086956521739,-0.034657536257551656
51.1304347826087,-0.03413743787077396
56.0,-0.033589136759845095
60.86956521739131,-0.03303739036964045
65.73913043478261,-0.03247619728016331
70.60869565217392,-0.03189117686171737
75.47826086956522,-0.031288735324946346
80.34782608695653,-0.030669937820619372
85.21739130434783,-0.03004729288906243
90.08695652173914,-0.029421294901864313
94.95652173913044,-0.028789578897009824
99.82608695652175,-0.0281543970145547
104.69565217391305,-0.02751621161154597
109.56521739130436,-0.026868913091658207
114.43478260869566,-0.02622465850478579
119.30434782608697,-0.025594791371233012
124.17391304347827,-0.024970058694352742
129.04347826086956,-0.024333473707759193
133.91304347826087,-0.023694675386980193
138.7826086956522,-0.02306201551170138
143.6521739130435,-0.02243428855541672
148.52173913043478,-0.02180790694641497
153.3913043478261,-0.021174786510463145
158.2608695652174,-0.020537130312210636
163.13043478260872,-0.019900956911196265
168.0,-0.019268771113139706
172.8695652173913,-0.018635250361022215
177.73913043478262,-0.0180032533003861
182.60869565217394,-0.017371221292009062
187.47826086956522,-0.01674332509270252
192.34782608695653,-0.01612213954267067
197.21739130434784,-0.015507387069948772
202.08695652173915,-0.014893397692532518
206.95652173913044,-0.01427658155948023
211.82608695652175,-0.013664710894675195
216.69565217391306,-0.013058068568900426
221.56521739130437,-0.012453801899071937
226.43478260869566,-0.01185071746826308
231.30434782608697,-0.011248747825527847
236.17391304347828,-0.010650975523861008
241.0434782608696,-0.010057188338339192
245.91304347826087,-0.00946777631916533
250.7826086956522,-0.008886242125543738
255.6521739130435,-0.008308721179002984
260.5217391304348,-0.007737966119612059
265.3913043478261,-0.007173782331767329
270.26086956521743,-0.006618212353912023
275.1304347826087,-0.006071158654088371
280.0,-0.0055303344716472105
284.8695652173913,-0.005000256576764086
289.7391304347826,-0.004482679403703563
294.60869565217394,-0.0039776074055124485
299.47826086956525,-0.003486300037351525
304.34782608695656,-0.0030122599206904815
309.21739130434787,-0.002559362217666584
314.0869565217391,-0.0021344627204817382
318.95652173913044,-0.0017423514742215922
323.82608695652175,-0.001389558590541962
328.69565217391306,-0.0010828196674226036
333.5652173913044,-0.0008302776657333527
338.4347826086957,-0.0006278641115141018
343.304347826087,-0.0004754556981618015
348.1739130434783,-0.00036335956056622967
353.04347826086956,-0.0002875684300179522
357.9130434782609,-0.00023484360684980867
362.7826086956522,-0.00019619423492237193
367.6521739130435,-0.00017162349117218038
372.5217391304348,-0.00016215983415653791
377.3913043478261,-0.0001618742595687006
382.26086956521743,-0.0001650451895978748
387.13043478260875,-0.00016837053287567432
392.0,-0.0001706462063958131
396.8695652173913,-0.00017148177256391805
401.7391304347826,-0.00017110532022330968
406.60869565217394,-0.00016967822743668918
411.47826086956525,-0.000167587815874559
