rpts,Alpha,Phi,Cl,Cd,Fx,Fy
0.000000000000000,67.260044477603358,80.568061350397414,0.000000000000000,0.500000000000000,102.062940400011485,-16.798450676834342
1.366700000000000,59.076199890958129,72.384203563947310,0.000000000000000,0.500000000000000,97.683796952566780,-30.854141725731012
4.100000000000000,45.775704037418585,59.083712014691962,0.000000000000000,0.500000000000000,118.410473184309438,-70.977197910987400
6.833300000000000,31.949715630290687,45.257733650893847,0.000000000000000,0.350000000000000,98.840857700364452,-98.292464633131502
10.250000000000000,14.404751196157708,27.712775172888747,1.597463427931935,0.175613912467612,1075.050454819363495,428.700743206404809
14.350000000000000,9.042131806938508,20.522149559528248,1.298566148239548,0.012643913063373,1490.544933857499245,548.107486584980848
18.449999999999999,7.318860837981004,17.480857413412146,1.079709719073718,0.011563200419754,1763.062211254268504,540.898384458664509
22.550000000000001,5.586151099586790,14.597144910901321,1.004430574765417,0.008588769262734,2180.949439008292757,554.879175873052418
26.649999999999999,4.782066454790668,12.577063646015668,0.906783233378289,0.005801546853413,2487.692128898963801,544.937998220895906
30.750000000000000,4.871960179300411,11.415979253350166,0.918866991879250,0.005769450838360,3039.210709059083456,600.986005337312463
34.850000000000001,4.115384783609287,9.476379379609172,0.912014921518552,0.005852632502798,3544.208269964704868,575.231280668024965
38.950000000000003,4.183356176360871,8.371343080145772,0.921702737524750,0.005905653519613,4085.374070991993449,581.765376337915086
43.049999999999997,4.403874975322104,7.528876237481706,0.939285322390886,0.006459800290597,4635.879336566328675,587.815851243938027
47.149999999999999,4.518218695021378,6.837217997646992,0.952455625699446,0.006509046362122,5125.964446612528263,587.065726419696375
51.250000000000000,4.858011466613102,6.384011535481648,0.988230540331143,0.006766612576143,5669.627679416912542,603.086154552497874
54.666699999999999,4.429961780538896,5.292961640219231,0.944253261212660,0.006136883756779,5634.015466727882085,492.260897012826774
57.399999999999999,5.002278369537146,5.372278343711440,1.003673049441878,0.006769511354819,5939.120146919567560,525.303248299807819
60.133299999999998,6.321653878160062,6.427653906855290,1.122831688140262,0.009372857980111,4942.212660334585962,520.651926884559089
61.499899999999997,7.377565726419697,7.483565755114923,1.207677953456340,0.011181446502603,5538.191253694511033,680.410163849751825
